product_id,product_name,category,cost
118,Pants 19,Clothing,97.35
119,Shoes 20,Clothing,446.82
120,Textbook 21,Books,271.97
121,Textbook 22,Books,404.68
122,Vegetable 23,Food,448.57
123,Shirt 24,Clothing,162.41
124,Dictionary 25,Books,59.48
125,Laptop 26,Electronics,117.83
126,Lamp 27,Home,216.42
127,Phone 28,Electronics,409.92
128,Jacket 29,Clothing,431.06
129,Comic 30,Books,8.44
130,Jacket 31,Clothing,257.82
131,Phone 32,Electronics,211.62
132,Novel 33,Books,114.94
133,Magazine 34,Books,64.33
134,Magazine 35,Books,172.12
135,Dictionary 36,Books,471.74
136,Textbook 37,Books,164.99
137,Dress 38,Clothing,261.8
138,Shirt 39,Clothing,352.99
139,Carpet 40,Home,185.0
140,Tablet 41,Electronics,486.03
141,Laptop 42,Electronics,481.41
142,Curtain 43,Home,129.63
143,Carpet 44,Home,251.14
144,Shirt 45,Clothing,153.93
145,Lamp 46,Home,146.0
146,Shirt 47,Clothing,23.26
147,Lamp 48,Home,306.73
148,Jacket 49,Clothing,253.83
149,Headphone 50,Electronics,30.48
150,Shoes 51,Clothing,142.93
151,Lamp 52,Home,454.59
152,Lamp 53,Home,123.58
153,Dictionary 54,Books,76.72
154,Carpet 55,Home,247.28
155,Fruit 56,Food,492.9
156,Dress 57,Clothing,124.82
157,Dress 58,Clothing,337.71
158,Textbook 59,Books,382.0
159,Vegetable 60,Food,122.63
160,Snack 61,Food,365.47
161,Camera 62,Electronics,187.05
162,Carpet 63,Home,317.99
163,Laptop 64,Electronics,318.6
164,Chair 65,Home,270.21
165,Table 66,Home,49.69
166,Dress 67,Clothing,418.47
167,Phone 68,Electronics,163.79
168,Fruit 69,Food,97.33
169,Jacket 70,Clothing,25.18
170,Table 71,Home,297.49
171,Carpet 72,Home,340.39
172,Headphone 73,Electronics,13.21
173,Snack 74,Food,258.49
174,Dress 75,Clothing,117.12
175,Laptop 76,Electronics,324.36
176,Chair 77,Home,91.31
177,Fruit 78,Food,347.01
178,Chair 79,Home,196.43
179,Beverage 80,Food,468.68
180,Meat 81,Food,73.07
181,Magazine 82,Books,173.83
182,Laptop 83,Electronics,61.17
183,Magazine 84,Books,462.72
184,Laptop 85,Electronics,439.28
185,Beverage 86,Food,132.68
186,Beverage 87,Food,331.69
187,Dictionary 88,Books,409.52
188,Dictionary 89,Books,279.82
189,Laptop 90,Electronics,267.18
190,Phone 91,Electronics,124.72
191,Lamp 92,Home,51.09
192,Meat 93,Food,449.12
193,Chair 94,Home,450.71
194,Textbook 95,Books,318.39
195,Tablet 96,Electronics,172.82
196,Snack 97,Food,177.86
197,Beverage 98,Food,364.35
198,Shirt 99,Clothing,449.07
199,Meat 100,Food,444.11
200,Dictionary 1,Books,391.04
